City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Charlestown,AU,70.74,overcast clouds,-32.95,151.6667,Warners Bay Hotel
527,Redcliffe,AU,81.14,few clouds,-27.2307,153.0973,La Vida on Anzac
528,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,Hotel Forum
529,Mogadishu,SO,80.2,few clouds,2.0371,45.3438,SYL Hotel
538,Barinas,VE,80.44,broken clouds,8.6226,-70.2075,Hotel Comercio
539,Alta Floresta,BR,70.47,light rain,-9.8756,-56.0861,Villas Hotel
547,Sambava,MG,75.29,scattered clouds,-14.2667,50.1667,Royal Sava Hôtel
550,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Hotel Hero
555,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
561,Key West,US,84.2,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
562,Caravelas,BR,72.59,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
572,Ambilobe,MG,75.02,few clouds,-13.2,49.05,Hôtel National
574,Zvishavane,ZW,79.03,broken clouds,-20.3267,30.0665,Zvishavane Panorama Lodge
577,Sijunjung,ID,71.89,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
578,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Hotel California
580,Hirara,JP,71.11,overcast clouds,24.8,125.2833,古謝そば屋
583,Trincomalee,LK,80.13,scattered clouds,8.5711,81.2335,Silver Star Inn
593,Temerloh,MY,74.98,overcast clouds,3.4483,102.4176,Hotel Jelai
597,Sao Jose Da Coroa Grande,BR,76.84,few clouds,-8.8978,-35.1478,Hotel do Sol
601,Vao,NC,77.45,light rain,-22.6667,167.4833,Nataiwatch
616,Golden Gate,US,82.47,clear sky,26.1879,-81.6951,Fairfield Inn & Suites by Marriott Naples
622,Malanville,BJ,79.07,broken clouds,11.8685,3.3899,Hôtel les Relais du Sahel
623,Puerto El Triunfo,SV,82.49,broken clouds,13.2833,-88.55,Motel Jardín
626,Itarema,BR,79.65,few clouds,-2.9248,-39.9167,Pousada Oásis
628,Ambulu,ID,74.98,overcast clouds,-8.345,113.6058,Hotel Ambulu
630,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
638,Daru,PG,80.92,overcast clouds,-9.0763,143.2092,Kuki
647,Maryborough,AU,79.25,clear sky,-25.5333,152.7,Post Office Hotel
651,Sarh,TD,80.55,broken clouds,9.1429,18.3923,فندق سفاري
653,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
654,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Tara-Mé
656,Kijini,TZ,78.53,overcast clouds,-5.85,39.3167,Alladin Boutique Hotel
