City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
507,Acapulco,MX,16.8634,-99.8901,85.82,70,0,8.05,clear sky
508,Marsabit,KE,2.3284,37.9899,67.57,64,46,11.36,scattered clouds
509,Loiza,PR,18.4313,-65.8802,82.38,69,40,13.8,scattered clouds
510,Jiwani,PK,25.05,61.7417,75.45,60,0,7.54,clear sky
511,Jizan,SA,17.3333,42.6667,77.94,69,0,1.07,clear sky
512,Tomatlan,MX,19.9333,-105.25,84.9,59,9,7.29,clear sky
513,Pareora,NZ,-44.4871,171.2132,57.18,95,66,19.04,broken clouds
514,Portland,US,45.5234,-122.6762,45.99,77,20,3.44,few clouds
515,Sharjah,AE,25.3573,55.4033,76.98,83,0,8.05,clear sky
516,Mogwase,ZA,-25.185,27.2665,69.19,66,17,2.46,few clouds
517,Neyshabur,IR,36.2133,58.7958,32.13,65,9,1.83,clear sky
518,Kristianstad,SE,56.0313,14.1524,34.36,100,100,8.05,drizzle
519,Pitimbu,BR,-7.4706,-34.8086,79.39,78,26,10.92,scattered clouds
520,Isla Mujeres,MX,21.2311,-86.731,82.45,63,7,9.33,clear sky
521,Alekseyevsk,RU,57.8406,108.3492,12.29,93,100,12.55,light snow
522,Amuntai,ID,-2.4177,115.2494,72.52,98,94,0.18,overcast clouds
523,Aasiaat,GL,68.7098,-52.8699,20.01,88,83,9.33,broken clouds
524,Gualaquiza,EC,-3.4,-78.55,73.96,71,52,2.77,light rain
525,Charlestown,AU,-32.95,151.6667,70.74,77,90,8.01,overcast clouds
526,Riyadh,SA,24.6877,46.7219,69.94,38,79,11.99,broken clouds
527,Redcliffe,AU,-27.2307,153.0973,81.14,43,20,5.75,few clouds
528,Luanda,AO,-8.8368,13.2343,80.6,78,75,6.91,broken clouds
529,Mogadishu,SO,2.0371,45.3438,80.2,80,17,15.03,few clouds
530,Leeds,GB,53.7964,-1.5477,41.32,88,20,8.05,few clouds
531,Tura,IN,25.5198,90.2201,59.52,85,0,3.58,clear sky
532,Awjilah,LY,29.1081,21.2869,64.35,33,2,8.46,clear sky
533,Grindavik,IS,63.8424,-22.4338,28.87,100,20,5.75,fog
534,Alekseyevka,RU,50.6309,38.6903,19.08,51,9,5.77,clear sky
535,Camana,PE,-16.6228,-72.7111,69.42,76,87,5.3,overcast clouds
536,Redan,US,33.7454,-84.1316,48.42,93,100,8.59,moderate rain
537,Birjand,IR,32.8663,59.2211,39.67,52,0,4.61,clear sky
538,Barinas,VE,8.6226,-70.2075,80.44,66,79,3.04,broken clouds
539,Alta Floresta,BR,-9.8756,-56.0861,70.47,99,100,3.09,light rain
540,Faya,SA,18.3851,42.4509,55.51,83,3,2.73,clear sky
541,Aklavik,CA,68.2191,-135.0107,-13.77,83,100,21.68,overcast clouds
542,Uyemskiy,RU,64.4743,40.8524,17.65,100,100,6.71,overcast clouds
543,Khudumelapye,BW,-23.8833,24.75,73.44,20,17,7.85,few clouds
