City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Trapani,IT,2022-12-02 02:26:59,37.8333,12.6667,53.28,94,20,10.36
122,Iqaluit,CA,2022-12-02 02:26:59,63.7506,-68.5145,10.13,84,100,18.41
123,Bambous Virieux,MU,2022-12-02 02:26:59,-20.3428,57.7575,74.21,88,20,3.44
124,Toora-Khem,RU,2022-12-02 02:27:00,52.4675,96.11,-12.23,98,100,0.96
125,Nikolskoye,RU,2022-12-02 02:27:00,59.7035,30.7861,13.8,88,95,3.69
126,Margate,GB,2022-12-02 02:27:00,51.3813,1.3862,45.9,89,100,1.01
127,Tarata,BO,2022-12-02 02:27:00,-17.6167,-66.0167,61.07,67,8,9.64
128,Te Anau,NZ,2022-12-02 02:27:01,-45.4167,167.7167,57.94,38,63,5.64
129,Zavitinsk,RU,2022-12-02 02:27:01,50.1167,129.45,-11.31,93,91,6.96
130,Chokurdakh,RU,2022-12-02 02:27:01,70.6333,147.9167,-2.15,97,100,11.27
131,Gizo,SB,2022-12-02 02:27:02,-8.103,156.8419,83.14,75,94,4.45
132,Maceio,BR,2022-12-02 02:24:20,-9.6658,-35.7353,76.44,88,75,3.44
133,Racalmuto,IT,2022-12-02 02:27:02,37.4071,13.7338,49.21,86,84,2.04
134,Oussouye,SN,2022-12-02 02:27:03,12.485,-16.5469,73.58,69,67,8.79
135,Hilo,US,2022-12-02 02:25:43,19.7297,-155.09,84.27,95,100,5.75
136,Thinadhoo,MV,2022-12-02 02:27:04,0.5333,72.9333,80.92,70,5,5.75
137,Unity,CA,2022-12-02 02:28:04,52.4501,-109.1682,-13.4,100,91,4.59
138,Lakes Entrance,AU,2022-12-02 02:28:04,-37.8811,147.981,68.16,65,0,9.86
139,Puerto El Triunfo,SV,2022-12-02 02:28:05,13.2833,-88.55,77.56,78,56,5.55
140,Camacha,PT,2022-12-02 02:28:05,33.0833,-16.3333,62.02,82,40,14.97
141,Castro,BR,2022-12-02 02:28:05,-24.7911,-50.0119,62.42,90,60,3.27
142,Merritt Island,US,2022-12-02 02:28:05,28.5392,-80.672,74.03,65,40,12.66
143,Domingos Martins,BR,2022-12-02 02:28:06,-20.3633,-40.6592,67.01,99,100,3.69
144,Bogande,BF,2022-12-02 02:28:06,12.9714,-0.1436,73.62,23,53,6.62
145,Eureka,US,2022-12-02 02:28:06,40.8021,-124.1637,41.94,93,44,1.99
146,Lompoc,US,2022-12-02 02:25:59,34.6391,-120.4579,55.02,96,100,10.36
147,Lake City,US,2022-12-02 02:28:07,30.1897,-82.6393,55.62,76,0,6.91
148,Stornoway,GB,2022-12-02 02:28:07,58.2093,-6.3865,51.76,85,75,21.85
149,Ilhabela,BR,2022-12-02 02:25:58,-23.7781,-45.3581,73.65,92,86,4.83
150,Usinsk,RU,2022-12-02 02:28:07,65.9939,57.5281,-2.9,99,89,14.76
151,Tual,ID,2022-12-02 02:28:08,-5.6667,132.75,82.63,74,99,8.81
152,Leh,IN,2022-12-02 02:28:08,34.1667,77.5833,23.05,43,100,2.98
153,Kano,NG,2022-12-02 02:28:08,12.0001,8.5167,55.29,76,0,3.44
154,Ancud,CL,2022-12-02 02:28:08,-41.8697,-73.8203,53.22,78,100,7.92
155,Mao,ES,2022-12-02 02:28:09,39.8885,4.2658,50.56,81,0,3.44
156,Fortuna,US,2022-12-02 02:28:09,40.5982,-124.1573,41.67,94,40,5.75
157,Ribeira Grande,PT,2022-12-02 02:28:09,38.5167,-28.7,55.78,57,1,1.99
158,Jeremie,HT,2022-12-02 02:28:10,18.65,-74.1167,79.16,69,2,16.62
159,Mamakan,RU,2022-12-02 02:28:10,57.8161,114.0028,-8.12,86,100,11.01
160,Mehamn,NO,2022-12-02 02:28:10,71.0357,27.8492,33.75,100,100,6.91
161,Khandyga,RU,2022-12-02 02:28:10,62.6667,135.6,-28.8,97,100,0.4
162,Vao,NC,2022-12-02 02:28:11,-22.6667,167.4833,79.23,85,87,21.34
163,Yulara,AU,2022-12-02 02:28:11,-25.2406,130.9889,89.64,11,3,5.37
164,Harper,LR,2022-12-02 02:28:11,4.375,-7.7169,76.55,89,100,3.31
165,Iskateley,RU,2022-12-02 02:28:11,67.6803,53.1512,20.84,96,100,7.9
166,Saint-Georges,GD,2022-12-02 02:28:12,12.0564,-61.7485,78.48,78,20,11.5
167,Pala,TD,2022-12-02 02:28:12,9.3642,14.9046,70.86,26,100,5.46
168,Tiksi,RU,2022-12-02 02:28:12,71.6872,128.8694,-8.99,94,100,9.48
169,Lashio,MM,2022-12-02 02:28:13,22.9333,97.75,64.56,93,29,0.29
170,Katsuura,JP,2022-12-02 02:28:13,35.1333,140.3,53.38,63,100,13.15
171,Kampot,KH,2022-12-02 02:28:13,10.6167,104.1833,84.25,79,92,9.22
172,Kushiro,JP,2022-12-02 02:28:13,42.975,144.3747,31.15,34,20,12.66
173,Jetpur,IN,2022-12-02 02:28:14,21.7333,70.6167,67.14,46,0,6.69
174,Boa Vista,BR,2022-12-02 02:28:14,2.8197,-60.6733,76.98,78,0,5.75
175,Progreso,MX,2022-12-02 02:28:14,21.2833,-89.6667,78.91,80,0,17.38
176,Dwarka,IN,2022-12-02 02:28:15,22.2394,68.9678,73.02,55,0,7.18
177,Astoria,US,2022-12-02 02:28:15,46.1879,-123.8313,36.91,95,100,3.44
178,Los Llanos De Aridane,ES,2022-12-02 02:28:15,28.6585,-17.9182,62.35,80,0,5.01
179,Belyy Yar,RU,2022-12-02 02:28:15,53.6039,91.3903,-0.51,78,100,4.47
180,Lata,PT,2022-12-02 02:29:16,40.1629,-8.3327,41.92,71,0,4.54
181,Almeirim,BR,2022-12-02 02:29:16,-1.5233,-52.5817,78.3,80,60,5.1
182,Brindisi,IT,2022-12-02 02:28:10,40.5833,17.6667,50.36,84,76,4.7
183,Farafangana,MG,2022-12-02 02:29:16,-22.8167,47.8333,71.74,92,95,3.98
184,Khatanga,RU,2022-12-02 02:29:17,71.9667,102.5,11.19,95,100,12.08
185,Pareora,NZ,2022-12-02 02:29:17,-44.4871,171.2132,60.19,55,52,4.41
186,Kainantu,PG,2022-12-02 02:29:17,-6.2887,145.8655,74.89,67,87,1.79
187,Hofn,IS,2022-12-02 02:29:18,64.2539,-15.2082,44.73,83,100,8.59
188,Hambantota,LK,2022-12-02 02:29:18,6.1241,81.1185,79.14,100,40,3.44
189,Nesna,NO,2022-12-02 02:29:18,66.1967,13.0213,30.67,72,1,12.28
190,Komsomolskiy,UZ,2022-12-02 02:29:18,40.4272,71.7189,36.32,80,75,4.61
191,Lithgow,AU,2022-12-02 02:29:19,-33.4833,150.15,59.32,63,94,7.83
192,Kruisfontein,ZA,2022-12-02 02:29:19,-34.0033,24.7314,59.88,93,34,7.99
193,Saint-Joseph,RE,2022-12-02 02:29:19,-21.3667,55.6167,77.47,78,6,4.07
194,Prince Rupert,CA,2022-12-02 02:29:20,54.3161,-130.3201,26.29,51,75,10.36
195,Savannakhet,LA,2022-12-02 02:29:20,16.566,104.751,77.02,88,40,6.91
196,Villa Carlos Paz,AR,2022-12-02 02:29:20,-31.4241,-64.4978,69.39,38,88,1.01
197,Krasnaya Yaruga,RU,2022-12-02 02:29:21,50.8008,35.6583,26.46,60,100,13.85
198,Gorontalo,ID,2022-12-02 02:29:21,0.5412,123.0595,87.6,63,96,2.86
199,Atambua,ID,2022-12-02 02:29:21,-9.1061,124.8925,83.93,56,34,2.21
200,Birin,NP,2022-12-02 02:29:22,26.8865,88.0718,54.28,61,0,3.06
201,Dunedin,NZ,2022-12-02 02:29:22,-45.8742,170.5036,48.79,79,100,11.01
202,Miyang,CN,2022-12-02 02:29:22,24.4042,103.4428,49.82,91,100,2.86
203,Batemans Bay,AU,2022-12-02 02:29:22,-35.7167,150.1833,67.1,61,81,6.78
204,Taman,RU,2022-12-02 02:29:23,45.2117,36.7161,42.55,72,100,23.06
205,Karratha,AU,2022-12-02 02:29:23,-20.7377,116.8463,93.24,30,10,13.06
206,Ambulu,ID,2022-12-02 02:29:23,-8.345,113.6058,82.69,64,100,4.21
207,Craig,US,2022-12-02 02:29:24,40.5153,-107.5464,46.02,36,100,18.41
